date_onset,nbCases_confirmed
2019-12-08,1
2019-12-09,0
2019-12-10,0
2019-12-11,1
2019-12-12,3
2019-12-13,0
2019-12-14,0
2019-12-15,4
2019-12-16,0
2019-12-17,5
2019-12-18,3
2019-12-19,2
2019-12-20,9
2019-12-21,4
2019-12-22,10
2019-12-23,5
2019-12-24,5
2019-12-25,4
2019-12-26,3
2019-12-27,13
2019-12-28,9
2019-12-29,11
2019-12-30,13
2019-12-31,10
2020-01-01,41
2020-01-02,34
2020-01-03,40
2020-01-04,23
2020-01-05,47
2020-01-06,40
2020-01-07,49
2020-01-08,91
2020-01-09,70
2020-01-10,115
2020-01-11,113
2020-01-12,135
2020-01-13,178
2020-01-14,185
2020-01-15,281
2020-01-16,293
2020-01-17,363
2020-01-18,389
2020-01-19,416
2020-01-20,797
2020-01-21,807
2020-01-22,1019
2020-01-23,1293
2020-01-24,1348
2020-01-25,1345
2020-01-26,1424
2020-01-27,1377
2020-01-28,1402
2020-01-29,1167
2020-01-30,1251
2020-01-31,1148
2020-02-01,2125
2020-02-02,1221
2020-02-03,1060
2020-02-04,991
2020-02-05,1054
2020-02-06,710
2020-02-07,737
2020-02-08,602
2020-02-09,485
2020-02-10,681
2020-02-11,445
2020-02-12,475
2020-02-13,507
2020-02-14,368
2020-02-15,333
2020-02-16,303
2020-02-17,510
2020-02-18,480
2020-02-19,288
2020-02-20,268
2020-02-21,262
2020-02-22,233
2020-02-23,162
2020-02-24,179
2020-02-25,189
2020-02-26,119
2020-02-27,94
2020-02-28,73
2020-02-29,47
2020-03-01,57
2020-03-02,38
2020-03-03,39
2020-03-04,20
2020-03-05,21
2020-03-06,6
2020-03-07,4
2020-03-08,1
